ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",1143,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18452,0.0018302704836647467
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",752,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24597,0.002439798563120625
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",567,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",3123,0.00030977318016935855
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",2235,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",32413,0.003215074636192577
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",21995,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2083135,0.20662803511754618
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",5010.8435417602095,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",228504,0.02266551737477397
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",4490.767083695168,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",174263,0.017285303777090276
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1372,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2659052,0.26332326274414114
0,"White Alone",1,"Hispanic or Latino",2018,"2018",15644.000000000002,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2527807,0.2503262015287701
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",2821,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",795505,0.07877806531398333
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",1963.0000000000002,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",28482,0.0028205440019520595
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",1145,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",20307,0.0020109819200772585
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",2715,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",50220,0.004973236422232723
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",3418.9999999999995,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1451560,0.1437465364606956
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",1258,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18408,0.0018229258474802862
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",688,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24821,0.002457998829873326
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",548,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",3108,0.0003077821346136859
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1674,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29924,0.002963343821164716
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",18067,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2091178,0.20708726792058507
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",4708.137636051011,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",223280,0.02211119530776827
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",4774.868479864132,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",174400,0.017270657746662425
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",1326,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2676982,0.26489764907445507
0,"White Alone",1,"Hispanic or Latino",2017,"2017",18257,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2555853,0.2529114693635942
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",2518,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",799579,0.07912141260169239
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",2005,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29402,0.0029094408098698935
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",984.9999999999999,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",19915,0.0019706657277926308
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",2852,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",48296,0.0047790746668075765
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",3080,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1442577,0.14274853394938036
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",1237,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",17931,0.0017743413088149465
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",697,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24950,0.0024688983132526306
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",522,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2741,0.00027123247601705254
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",1931,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",28960,0.0028657032124968407
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",20706,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2072124,0.20504462719239655
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",4331.710978354858,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",219180,0.02168870269734315
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",4830.446149166762,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",167232,0.01654824860608673
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1416,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2687787,0.26725122561996906
0,"White Alone",1,"Hispanic or Latino",2016,"2016",16021,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2595670,0.2580918758833885
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",2867,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",801182,0.07966288677066229
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",1931.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",30131,0.002995976496335196
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",1032,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18765,0.0018658358153970979
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",3038,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",43906,0.004365648138066879
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",3126,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1413105,0.14050742978506348
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",1266,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18256,0.001815225081049263
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",745,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24439,0.002430011270582983
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",458,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2371,0.00023575255626466927
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",2079,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29351,0.0029184197717943097
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",19256,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2000806,0.19894353820737573
